epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,188.276,0.25572,0.96562,1,0.10296,0.000548721,0.000548721,0.000548721
2,335.18,0.14446,0.98125,1,0.07771,0.00108252,0.00108252,0.00108252
3,483.363,0.16045,0.90625,1,0.21802,0.00159432,0.00159432,0.00159432
4,623.086,0.14691,0.96562,1,0.08506,0.00156798,0.00156798,0.00156798
5,757.807,0.1237,0.98438,1,0.06407,0.00153497,0.00153497,0.00153497
6,899.557,0.11594,0.99063,1,0.04899,0.00150197,0.00150197,0.00150197
7,1036.02,0.09016,0.99063,1,0.04592,0.00146896,0.00146896,0.00146896
8,1175.41,0.09874,0.9875,1,0.04561,0.00143595,0.00143595,0.00143595
9,1309.27,0.08473,0.99063,1,0.04028,0.00140295,0.00140295,0.00140295
10,1448.27,0.06934,0.9875,1,0.03889,0.00136994,0.00136994,0.00136994
11,1590.64,0.0817,0.99063,1,0.06413,0.00133693,0.00133693,0.00133693
12,1726.59,0.08171,0.9875,1,0.04633,0.00130393,0.00130393,0.00130393
13,1866.64,0.07401,0.9875,1,0.04251,0.00127092,0.00127092,0.00127092
14,2010.27,0.06215,0.99063,1,0.04181,0.00123791,0.00123791,0.00123791
15,2149.31,0.07004,0.9875,1,0.05798,0.00120491,0.00120491,0.00120491
16,2290.18,0.05947,0.99063,1,0.04868,0.0011719,0.0011719,0.0011719
17,2435.02,0.0514,0.9875,1,0.05424,0.00113889,0.00113889,0.00113889
18,2570.17,0.05677,0.9875,1,0.04361,0.00110589,0.00110589,0.00110589
19,2706.9,0.05624,0.9875,1,0.03743,0.00107288,0.00107288,0.00107288
20,2847.89,0.05726,0.98438,1,0.07023,0.00103987,0.00103987,0.00103987
21,2982.06,0.05377,0.99063,1,0.03947,0.00100687,0.00100687,0.00100687
22,3115.24,0.05538,0.98438,1,0.05409,0.000973861,0.000973861,0.000973861
23,3258.17,0.04469,0.99063,1,0.03995,0.000940855,0.000940855,0.000940855
24,3392.92,0.04386,0.99063,1,0.05129,0.000907848,0.000907848,0.000907848
25,3530.21,0.04058,0.99063,1,0.04673,0.000874842,0.000874842,0.000874842
26,3667.64,0.04916,0.99063,1,0.04412,0.000841835,0.000841835,0.000841835
27,3812.72,0.05246,0.99063,1,0.04457,0.000808828,0.000808828,0.000808828
28,3951.9,0.03797,0.99063,1,0.04983,0.000775822,0.000775822,0.000775822
29,4094.74,0.03737,0.99063,1,0.05806,0.000742815,0.000742815,0.000742815
30,4230.45,0.04972,0.9875,1,0.05268,0.000709809,0.000709809,0.000709809
31,4363.31,0.04678,0.99063,1,0.04336,0.000676802,0.000676802,0.000676802
32,4505.1,0.03722,0.99063,1,0.05094,0.000643795,0.000643795,0.000643795
33,4639.78,0.03396,0.99063,1,0.05524,0.000610789,0.000610789,0.000610789
34,4779.11,0.04827,0.99063,1,0.04494,0.000577782,0.000577782,0.000577782
35,4915.47,0.03896,0.99063,1,0.04774,0.000544776,0.000544776,0.000544776
36,5047.32,0.03197,0.99063,1,0.04719,0.000511769,0.000511769,0.000511769
37,5189.09,0.03458,0.99063,1,0.05768,0.000478762,0.000478762,0.000478762
38,5330.37,0.02988,0.99063,1,0.05115,0.000445756,0.000445756,0.000445756
39,5472.51,0.03103,0.99063,1,0.04851,0.000412749,0.000412749,0.000412749
40,5600.66,0.02941,0.99063,1,0.05861,0.000379743,0.000379743,0.000379743
41,5750.28,0.02425,0.98438,1,0.07414,0.000346736,0.000346736,0.000346736
42,5887.58,0.03582,0.99063,1,0.04884,0.000313729,0.000313729,0.000313729
43,6024.38,0.02731,0.99063,1,0.05187,0.000280723,0.000280723,0.000280723
44,6165.28,0.02626,0.9875,1,0.0521,0.000247716,0.000247716,0.000247716
45,6308.04,0.02631,0.99063,1,0.05592,0.00021471,0.00021471,0.00021471
46,6438.88,0.02056,0.99063,1,0.04785,0.000181703,0.000181703,0.000181703
47,6564.66,0.02103,0.9875,1,0.05817,0.000148696,0.000148696,0.000148696
48,6706.06,0.02009,0.99063,1,0.05977,0.00011569,0.00011569,0.00011569
49,6846.7,0.01946,0.99063,1,0.05654,8.26832e-05,8.26832e-05,8.26832e-05
50,6982.88,0.02349,0.99063,1,0.05812,4.96766e-05,4.96766e-05,4.96766e-05
